VehicleAvailable
4
Type	MaxCap	MaxBat	ChargeRate	Con
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
2	500	22	0.02	0.25
2	500	22	0.02	0.25
StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	40	50	0	0	1236	0
S0	f	40	50	0	0	1236	0
S1	f	73	52	0	0	1236	0
S2	f	90	55	0	0	1236	0
S3	f	55	79	0	0	1236	0
S4	f	69	89	0	0	1236	0
C1	c	45	68	10	0	1127	90
C2	c	45	70	30	0	1125	90
C3	c	42	66	10	0	1129	90
C4	c	42	68	10	727	782	90
C5	c	42	65	10	0	1130	90
C6	c	40	69	20	621	702	90
C7	c	40	66	20	0	1130	90
C8	c	38	68	20	255	324	90
C9	c	38	70	10	534	605	90
C10	c	35	66	10	357	410	90
C11	c	35	69	10	448	505	90
C12	c	25	85	20	0	1107	90
C13	c	22	75	30	30	92	90
C14	c	22	85	10	567	620	90
C15	c	20	80	40	384	429	90
C16	c	20	85	40	475	528	90
C17	c	18	75	20	99	148	90
C18	c	15	75	20	179	254	90
C19	c	15	80	10	278	345	90
C20	c	30	50	10	10	73	90
C21	c	30	52	20	0	1135	90
C22	c	28	52	20	812	883	90
C23	c	28	55	10	732	777	90
C24	c	25	50	10	65	144	90
C25	c	25	52	40	169	224	90
BEST SOLUTION STATIC CASE
NV	Distance
3	190.3
