StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	40	50	0	0	1236	0
S0	f	40	50	0	0	1236	0
S1	f	73	52	0	0	1236	0
S2	f	90	55	0	0	1236	0
S3	f	55	79	0	0	1236	0
S4	f	69	89	0	0	1236	0
C1	c	45	68	10	885	994	90
C2	c	45	70	30	802	893	90
C3	c	42	66	10	25	186	90
C4	c	42	68	10	699	810	90
C5	c	42	65	10	15	120	90
C6	c	40	69	20	580	743	90
C7	c	40	66	20	142	253	90
C8	c	38	68	20	220	359	90
C9	c	38	70	10	499	640	90
C10	c	35	66	10	331	436	90
C11	c	35	69	10	420	533	90
C12	c	25	85	20	617	756	90
C13	c	22	75	30	30	155	90
C14	c	22	85	10	541	646	90
C15	c	20	80	40	362	451	90
C16	c	20	85	40	448	555	90
C17	c	18	75	20	75	172	90
C18	c	15	75	20	142	291	90
C19	c	15	80	10	244	379	90
C20	c	30	50	10	10	137	90
C21	c	30	52	20	888	991	90
C22	c	28	52	20	776	919	90
C23	c	28	55	10	709	800	90
C24	c	25	50	10	25	184	90
C25	c	25	52	40	142	251	90
