StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	35	35	0	0	230	0
S0	f	35	35	0	0	230	0
S1	f	61	37	0	0	230	0
S2	f	74	39	0	0	230	0
S3	f	47	57	0	0	230	0
S4	f	57	65	0	0	230	0
C1	c	41	49	10	151	181	10
C2	c	35	17	7	40	70	10
C3	c	55	45	13	106	136	10
C4	c	55	20	19	139	169	10
C5	c	15	30	26	24	54	10
C6	c	25	30	3	89	119	10
C7	c	20	50	5	71	101	10
C8	c	10	43	9	85	115	10
C9	c	55	60	16	87	117	10
C10	c	30	60	16	114	144	10
C11	c	20	65	12	57	87	10
C12	c	50	35	19	53	83	10
C13	c	30	25	23	149	179	10
C14	c	15	10	20	32	62	10
C15	c	30	5	8	51	81	10
C16	c	10	20	19	65	95	10
C17	c	5	30	2	147	177	10
C18	c	20	40	12	77	107	10
C19	c	15	60	17	66	96	10
C20	c	45	65	9	116	146	10
C21	c	45	20	11	52	82	10
C22	c	45	10	18	87	117	10
C23	c	55	5	29	58	88	10
C24	c	65	35	3	143	173	10
C25	c	65	20	6	156	186	10
