StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	40	50	0	0	240	0
S0	f	40	50	0	0	240	0
S1	f	73	52	0	0	240	0
S2	f	90	55	0	0	240	0
S3	f	55	79	0	0	240	0
S4	f	69	89	0	0	240	0
C1	c	25	85	20	0	191	10
C2	c	22	75	30	0	199	10
C3	c	22	85	10	0	190	10
C4	c	20	80	40	141	171	10
C5	c	20	85	20	0	189	10
C6	c	18	75	20	0	196	10
C7	c	15	75	20	0	194	10
C8	c	15	80	10	91	121	10
C9	c	10	35	20	91	121	10
C10	c	10	40	30	0	198	10
C11	c	8	40	40	59	89	10
C12	c	8	45	20	0	197	10
C13	c	5	35	10	142	172	10
C14	c	5	45	10	0	194	10
C15	c	2	40	20	58	88	10
C16	c	0	40	20	0	188	10
C17	c	0	45	20	0	189	10
C18	c	44	5	20	0	184	10
C19	c	42	10	40	0	189	10
C20	c	42	15	10	0	194	10
C21	c	40	5	10	0	185	10
C22	c	40	15	40	0	195	10
C23	c	38	5	30	65	95	10
C24	c	38	15	10	0	194	10
C25	c	35	5	20	154	184	10
