VehicleAvailable
8
Type	MaxCap	MaxBat	ChargeRate	Con
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	40	50	0	0	1236	0
S0	f	40	50	0	0	1236	0
S1	f	73	52	0	0	1236	0
S2	f	90	55	0	0	1236	0
S3	f	55	79	0	0	1236	0
S4	f	69	89	0	0	1236	0
S5	f	32	80	0	0	1236	0
S6	f	39	96	0	0	1236	0
S7	f	23	80	0	0	1236	0
S8	f	4	83	0	0	1236	0
S9	f	18	58	0	0	1236	0
C1	c	45	68	10	885	994	90
C2	c	45	70	30	802	893	90
C3	c	42	66	10	25	186	90
C4	c	42	68	10	699	810	90
C5	c	42	65	10	15	120	90
C6	c	40	69	20	580	743	90
C7	c	40	66	20	142	253	90
C8	c	38	68	20	220	359	90
C9	c	38	70	10	499	640	90
C10	c	35	66	10	331	436	90
C11	c	35	69	10	420	533	90
C12	c	25	85	20	617	756	90
C13	c	22	75	30	30	155	90
C14	c	22	85	10	541	646	90
C15	c	20	80	40	362	451	90
C16	c	20	85	40	448	555	90
C17	c	18	75	20	75	172	90
C18	c	15	75	20	142	291	90
C19	c	15	80	10	244	379	90
C20	c	30	50	10	10	137	90
C21	c	30	52	20	888	991	90
C22	c	28	52	20	776	919	90
C23	c	28	55	10	709	800	90
C24	c	25	50	10	25	184	90
C25	c	25	52	40	142	251	90
C26	c	25	55	10	582	741	90
C27	c	23	52	10	234	343	90
C28	c	23	55	20	523	616	90
C29	c	20	50	10	335	428	90
C30	c	20	55	10	422	531	90
C31	c	10	35	20	181	256	90
C32	c	10	40	30	31	170	90
C33	c	8	40	40	52	193	90
C34	c	8	45	20	719	848	90
C35	c	5	35	10	252	375	90
C36	c	5	45	10	639	742	90
C37	c	2	40	20	357	460	90
C38	c	0	40	30	457	544	90
C39	c	0	45	20	538	653	90
C40	c	35	30	10	236	349	90
C41	c	35	32	10	132	269	90
C42	c	33	32	20	27	190	90
C43	c	33	35	10	16	144	90
C44	c	32	30	10	332	439	90
C45	c	30	30	10	512	629	90
C46	c	30	32	30	417	540	90
C47	c	30	35	10	982	1127	90
C48	c	28	30	10	601	724	90
C49	c	28	35	10	969	1098	90
C50	c	26	32	10	783	912	90
BEST SOLUTION STATIC CASE
NV	Distance
5	362.4
