VehicleAvailable
16
Type	MaxCap	MaxBat	ChargeRate	Con
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	35	35	0	0	230	0
S0	f	35	35	0	0	230	0
S1	f	61	37	0	0	230	0
S2	f	74	39	0	0	230	0
S3	f	47	57	0	0	230	0
S4	f	57	65	0	0	230	0
S5	f	29	59	0	0	230	0
S6	f	34	71	0	0	230	0
S7	f	22	58	0	0	230	0
S8	f	7	61	0	0	230	0
S9	f	18	41	0	0	230	0
C1	c	41	49	10	161	171	10
C2	c	35	17	7	50	60	10
C3	c	55	45	13	116	126	10
C4	c	55	20	19	149	159	10
C5	c	15	30	26	34	44	10
C6	c	25	30	3	99	109	10
C7	c	20	50	5	81	91	10
C8	c	10	43	9	95	105	10
C9	c	55	60	16	97	107	10
C10	c	30	60	16	124	134	10
C11	c	20	65	12	67	77	10
C12	c	50	35	19	63	73	10
C13	c	30	25	23	159	169	10
C14	c	15	10	20	32	42	10
C15	c	30	5	8	61	71	10
C16	c	10	20	19	75	85	10
C17	c	5	30	2	157	167	10
C18	c	20	40	12	87	97	10
C19	c	15	60	17	76	86	10
C20	c	45	65	9	126	136	10
C21	c	45	20	11	62	72	10
C22	c	45	10	18	97	107	10
C23	c	55	5	29	68	78	10
C24	c	65	35	3	153	163	10
C25	c	65	20	6	172	182	10
C26	c	45	30	17	132	142	10
C27	c	35	40	16	37	47	10
C28	c	41	37	16	39	49	10
C29	c	64	42	9	63	73	10
C30	c	40	60	21	71	81	10
C31	c	31	52	27	50	60	10
C32	c	35	69	23	141	151	10
C33	c	53	52	11	37	47	10
C34	c	65	55	14	117	127	10
C35	c	63	65	8	143	153	10
C36	c	2	60	5	41	51	10
C37	c	20	20	8	134	144	10
C38	c	5	5	16	83	93	10
C39	c	60	12	31	44	54	10
C40	c	40	25	9	85	95	10
C41	c	42	7	5	97	107	10
C42	c	24	12	5	31	41	10
C43	c	23	3	7	132	142	10
C44	c	11	14	18	69	79	10
C45	c	6	38	16	32	42	10
C46	c	2	48	1	117	127	10
C47	c	8	56	27	51	61	10
C48	c	13	52	36	165	175	10
C49	c	6	68	30	108	118	10
C50	c	47	47	13	124	134	10
BEST SOLUTION STATIC CASE
NV	Distance
12	1044.0
