VehicleAvailable
12
Type	MaxCap	MaxBat	ChargeRate	Con
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	35	35	0	0	230	0
S0	f	35	35	0	0	230	0
S1	f	61	37	0	0	230	0
S2	f	74	39	0	0	230	0
S3	f	47	57	0	0	230	0
S4	f	57	65	0	0	230	0
S5	f	29	59	0	0	230	0
S6	f	34	71	0	0	230	0
S7	f	22	58	0	0	230	0
S8	f	7	61	0	0	230	0
S9	f	18	41	0	0	230	0
C1	c	41	49	10	151	181	10
C2	c	35	17	7	40	70	10
C3	c	55	45	13	106	136	10
C4	c	55	20	19	139	169	10
C5	c	15	30	26	24	54	10
C6	c	25	30	3	89	119	10
C7	c	20	50	5	71	101	10
C8	c	10	43	9	85	115	10
C9	c	55	60	16	87	117	10
C10	c	30	60	16	114	144	10
C11	c	20	65	12	57	87	10
C12	c	50	35	19	53	83	10
C13	c	30	25	23	149	179	10
C14	c	15	10	20	32	62	10
C15	c	30	5	8	51	81	10
C16	c	10	20	19	65	95	10
C17	c	5	30	2	147	177	10
C18	c	20	40	12	77	107	10
C19	c	15	60	17	66	96	10
C20	c	45	65	9	116	146	10
C21	c	45	20	11	52	82	10
C22	c	45	10	18	87	117	10
C23	c	55	5	29	58	88	10
C24	c	65	35	3	143	173	10
C25	c	65	20	6	156	186	10
C26	c	45	30	17	122	152	10
C27	c	35	40	16	27	57	10
C28	c	41	37	16	29	59	10
C29	c	64	42	9	53	83	10
C30	c	40	60	21	61	91	10
C31	c	31	52	27	40	70	10
C32	c	35	69	23	131	161	10
C33	c	53	52	11	27	57	10
C34	c	65	55	14	107	137	10
C35	c	63	65	8	133	163	10
C36	c	2	60	5	41	71	10
C37	c	20	20	8	124	154	10
C38	c	5	5	16	73	103	10
C39	c	60	12	31	34	64	10
C40	c	40	25	9	75	105	10
C41	c	42	7	5	87	117	10
C42	c	24	12	5	25	55	10
C43	c	23	3	7	122	152	10
C44	c	11	14	18	59	89	10
C45	c	6	38	16	29	59	10
C46	c	2	48	1	107	137	10
C47	c	8	56	27	41	71	10
C48	c	13	52	36	155	185	10
C49	c	6	68	30	98	128	10
C50	c	47	47	13	114	144	10
BEST SOLUTION STATIC CASE
NV	Distance
9	899.3
