VehicleAvailable
12
Type	MaxCap	MaxBat	ChargeRate	Con
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
1	1000	36	0.05	0.17
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
2	500	22	0.02	0.25
StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	40	50	0	0	240	0
S0	f	40	50	0	0	240	0
S1	f	73	52	0	0	240	0
S2	f	90	55	0	0	240	0
S3	f	55	79	0	0	240	0
S4	f	69	89	0	0	240	0
S5	f	32	80	0	0	240	0
S6	f	39	96	0	0	240	0
S7	f	23	80	0	0	240	0
S8	f	4	83	0	0	240	0
S9	f	18	58	0	0	240	0
C1	c	25	85	20	71	191	10
C2	c	22	75	30	30	150	10
C3	c	22	85	10	64	184	10
C4	c	20	80	40	151	161	10
C5	c	20	85	20	40	160	10
C6	c	18	75	20	96	123	10
C7	c	15	75	20	35	155	10
C8	c	15	80	10	101	111	10
C9	c	10	35	20	101	111	10
C10	c	10	40	30	123	144	10
C11	c	8	40	40	69	79	10
C12	c	8	45	20	32	152	10
C13	c	5	35	10	152	162	10
C14	c	5	45	10	35	117	10
C15	c	2	40	20	68	78	10
C16	c	0	40	20	59	114	10
C17	c	0	45	20	147	180	10
C18	c	44	5	20	79	124	10
C19	c	42	10	40	58	115	10
C20	c	42	15	10	111	162	10
C21	c	40	5	10	45	165	10
C22	c	40	15	40	94	119	10
C23	c	38	5	30	75	85	10
C24	c	38	15	10	128	194	10
C25	c	35	5	20	171	181	10
C26	c	95	30	30	58	171	10
C27	c	95	35	20	60	93	10
C28	c	92	30	10	55	120	10
C29	c	90	35	10	52	112	10
C30	c	88	30	10	75	102	10
C31	c	88	35	20	50	170	10
C32	c	87	30	10	116	175	10
C33	c	85	25	10	51	85	10
C34	c	85	35	30	62	182	10
C35	c	67	85	20	138	169	10
C36	c	65	85	40	43	78	10
C37	c	65	82	10	69	189	10
C38	c	62	80	30	85	95	10
C39	c	60	80	10	36	74	10
C40	c	60	85	30	87	112	10
C41	c	58	75	20	92	121	10
C42	c	55	80	10	33	66	10
C43	c	55	85	20	117	168	10
C44	c	55	82	10	74	84	10
C45	c	20	82	10	37	72	10
C46	c	18	80	10	98	157	10
C47	c	2	45	10	38	109	10
C48	c	42	5	10	64	184	10
C49	c	42	12	10	109	128	10
C50	c	72	35	30	71	191	10
BEST SOLUTION STATIC CASE
NV	Distance
8	855.3
